function,F,CR,run,best_fitness
Rastrigin,0.6,0.9,4,197.786
Rastrigin,0.6,0.9,5,197.044
Rastrigin,0.6,0.9,6,195.721
Rastrigin,0.6,0.9,7,214.979
Rastrigin,0.6,0.9,8,197.053
Rastrigin,0.6,0.9,9,208.931
Rastrigin,0.6,0.9,10,207.295
Rastrigin,0.8,0.1,1,26.6584
Rastrigin,0.8,0.1,2,35.881
Rastrigin,0.8,0.1,3,27.6451
Rastrigin,0.8,0.1,4,30.3819
Rastrigin,0.8,0.1,5,35.0871
Rastrigin,0.8,0.1,6,22.3729
Rastrigin,0.8,0.1,7,30.7883
Rastrigin,0.8,0.1,8,29.0479
Rastrigin,0.8,0.1,9,30.7916
Rastrigin,0.8,0.1,10,23.2807
Rastrigin,0.8,0.3,1,128.608
Rastrigin,0.8,0.3,2,120.292
Rastrigin,0.8,0.3,3,117.586
Rastrigin,0.8,0.3,4,126.745
Rastrigin,0.8,0.3,5,124.46
Rastrigin,0.8,0.3,6,134.532
Rastrigin,0.8,0.3,7,123.275
Rastrigin,0.8,0.3,8,129.093
Rastrigin,0.8,0.3,9,126.619
Rastrigin,0.8,0.3,10,133.299
Rastrigin,0.8,0.5,1,203.354
Rastrigin,0.8,0.5,2,209.454
Rastrigin,0.8,0.5,3,203.132
Rastrigin,0.8,0.5,4,190.005
Rastrigin,0.8,0.5,5,203.565
Rastrigin,0.8,0.5,6,218.406
Rastrigin,0.8,0.5,7,203.274
Rastrigin,0.8,0.5,8,193.328
Rastrigin,0.8,0.5,9,196.664
Rastrigin,0.8,0.5,10,197.792
Rastrigin,0.8,0.7,1,258.558
Rastrigin,0.8,0.7,2,262.063
Rastrigin,0.8,0.7,3,270.413
Rastrigin,0.8,0.7,4,261.671
Rastrigin,0.8,0.7,5,240.602
Rastrigin,0.8,0.7,6,270.469
Rastrigin,0.8,0.7,7,270.311
Rastrigin,0.8,0.7,8,247.175
Rastrigin,0.8,0.7,9,250.617
Rastrigin,0.8,0.7,10,257.017
Rastrigin,0.8,0.9,1,243.738
Rastrigin,0.8,0.9,2,231.564
Rastrigin,0.8,0.9,3,271.971
Rastrigin,0.8,0.9,4,202.051
Rastrigin,0.8,0.9,5,223.58
Rastrigin,0.8,0.9,6,250.677
Rastrigin,0.8,0.9,7,257.551
Rastrigin,0.8,0.9,8,259.886
Rastrigin,0.8,0.9,9,258.758
Rastrigin,0.8,0.9,10,260.048
Rastrigin,1,0.1,1,1.40705
Rastrigin,1,0.1,2,0.521547
Rastrigin,1,0.1,3,0.757711
Rastrigin,1,0.1,4,1.14518
Rastrigin,1,0.1,5,0.683521
Rastrigin,1,0.1,6,0.593967
Rastrigin,1,0.1,7,0.611147
Rastrigin,1,0.1,8,1.1393
Rastrigin,1,0.1,9,0.874368
Rastrigin,1,0.1,10,0.608159
Rastrigin,1,0.3,1,92.4208
Rastrigin,1,0.3,2,110.274
Rastrigin,1,0.3,3,96.4333
Rastrigin,1,0.3,4,117.104
Rastrigin,1,0.3,5,109.113
Rastrigin,1,0.3,6,100.541
Rastrigin,1,0.3,7,118.501
Rastrigin,1,0.3,8,99.2889
Rastrigin,1,0.3,9,101.531
Rastrigin,1,0.3,10,97.9228
Rastrigin,1,0.5,1,220.354
Rastrigin,1,0.5,2,232.475
Rastrigin,1,0.5,3,232.252
Rastrigin,1,0.5,4,207.03
Rastrigin,1,0.5,5,228.808
Rastrigin,1,0.5,6,220.793
Rastrigin,1,0.5,7,224.206
Rastrigin,1,0.5,8,214.058
Rastrigin,1,0.5,9,234.37
Rastrigin,1,0.5,10,229.104
Rastrigin,1,0.7,1,300.086
Rastrigin,1,0.7,2,291.296
Rastrigin,1,0.7,3,309.749
Rastrigin,1,0.7,4,317.444
Rastrigin,1,0.7,5,284.083
Rastrigin,1,0.7,6,277.994
Rastrigin,1,0.7,7,292.658
Rastrigin,1,0.7,8,287.666
Rastrigin,1,0.7,9,301.62
Rastrigin,1,0.7,10,297.587
Rastrigin,1,0.9,1,210.125
Rastrigin,1,0.9,2,185.8
Rastrigin,1,0.9,3,212.477
Rastrigin,1,0.9,4,142.316
Rastrigin,1,0.9,5,178.798
Rastrigin,1,0.9,6,177.062
Rastrigin,1,0.9,7,258.055
Rastrigin,1,0.9,8,144.418
Rastrigin,1,0.9,9,218.759
Rastrigin,1,0.9,10,188.11
