function,F,CR,run,best_fitness
Sphere,0.6,0.5,6,8.02328e-05
Sphere,0.6,0.5,7,8.0889e-05
Sphere,0.6,0.5,8,4.40242e-05
Sphere,0.6,0.5,9,3.5712e-05
Sphere,0.6,0.5,10,0.000111516
Sphere,0.6,0.7,1,0.0104726
Sphere,0.6,0.7,2,0.00751601
Sphere,0.6,0.7,3,0.0124971
Sphere,0.6,0.7,4,0.0155183
Sphere,0.6,0.7,5,0.00843437
Sphere,0.6,0.7,6,0.00764687
Sphere,0.6,0.7,7,0.0137072
Sphere,0.6,0.7,8,0.00467796
Sphere,0.6,0.7,9,0.0198006
Sphere,0.6,0.7,10,0.0107573
Sphere,0.6,0.9,1,6.05404e-05
Sphere,0.6,0.9,2,0.000187056
Sphere,0.6,0.9,3,0.000123928
Sphere,0.6,0.9,4,0.000136228
Sphere,0.6,0.9,5,0.000151804
Sphere,0.6,0.9,6,9.41503e-05
Sphere,0.6,0.9,7,2.42504e-05
Sphere,0.6,0.9,8,5.6108e-05
Sphere,0.6,0.9,9,3.89866e-05
Sphere,0.6,0.9,10,0.000128395
Sphere,0.8,0.1,1,9.29393e-05
Sphere,0.8,0.1,2,9.40953e-05
Sphere,0.8,0.1,3,5.80019e-05
Sphere,0.8,0.1,4,9.29149e-05
Sphere,0.8,0.1,5,7.02514e-05
Sphere,0.8,0.1,6,9.57366e-05
Sphere,0.8,0.1,7,6.20023e-05
Sphere,0.8,0.1,8,0.000100406
Sphere,0.8,0.1,9,8.83777e-05
Sphere,0.8,0.1,10,9.92737e-05
Sphere,0.8,0.3,1,0.149002
Sphere,0.8,0.3,2,0.23099
Sphere,0.8,0.3,3,0.131734
Sphere,0.8,0.3,4,0.156395
Sphere,0.8,0.3,5,0.139826
Sphere,0.8,0.3,6,0.259562
Sphere,0.8,0.3,7,0.210937
Sphere,0.8,0.3,8,0.214461
Sphere,0.8,0.3,9,0.169906
Sphere,0.8,0.3,10,0.188656
Sphere,0.8,0.5,1,162.738
Sphere,0.8,0.5,2,70.9587
Sphere,0.8,0.5,3,97.8847
Sphere,0.8,0.5,4,110.367
Sphere,0.8,0.5,5,110.594
Sphere,0.8,0.5,6,74.0504
Sphere,0.8,0.5,7,108.841
Sphere,0.8,0.5,8,77.7678
Sphere,0.8,0.5,9,118.693
Sphere,0.8,0.5,10,103.649
Sphere,0.8,0.7,1,1994.07
Sphere,0.8,0.7,2,2115.02
Sphere,0.8,0.7,3,1482.85
Sphere,0.8,0.7,4,1947.5
Sphere,0.8,0.7,5,1804.31
Sphere,0.8,0.7,6,2033.2
Sphere,0.8,0.7,7,1742.86
Sphere,0.8,0.7,8,2330.33
Sphere,0.8,0.7,9,2026.32
Sphere,0.8,0.7,10,1821.46
Sphere,0.8,0.9,1,294.629
Sphere,0.8,0.9,2,225.372
Sphere,0.8,0.9,3,455.362
Sphere,0.8,0.9,4,514.55
Sphere,0.8,0.9,5,1295.95
Sphere,0.8,0.9,6,893.164
Sphere,0.8,0.9,7,258.847
Sphere,0.8,0.9,8,867.513
Sphere,0.8,0.9,9,733.67
Sphere,0.8,0.9,10,893.641
Sphere,1,0.1,1,0.048884
Sphere,1,0.1,2,0.0401205
Sphere,1,0.1,3,0.0426609
Sphere,1,0.1,4,0.040375
Sphere,1,0.1,5,0.0463551
Sphere,1,0.1,6,0.0549309
Sphere,1,0.1,7,0.0320747
Sphere,1,0.1,8,0.0360635
